,DHd_2016.zip,DHd_2017.zip,DHd_2018.zip,DHd_2019.zip,DHd_2020.zip,DHd_2022.zip,DHd_2023.zip
manuelle Annotation,0.006,0.0,0.0,0.0,0.0,0.0,0.006
algorithmische Verfahren,0.006,0.0,0.0,0.0,0.0,0.0,0.0
interaktive Visualisierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Algorithmic Criticism,0.006,0.0,0.0,0.0,0.0,0.0,0.0
OCR,0.006,0.0,0.006,0.019,0.006,0.025,0.006
17. Jahrhundert,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Texterfassung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Ocropus,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Tesseract,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Handlungsempfehlungen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Entwicklungskapazitäten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Datensynchronisation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Rückfluss,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Filmanalyse,0.006,0.0,0.0,0.0,0.0,0.013,0.0
Filmsprache,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Farbanalyse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Differenzanalyse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Webapplikation,0.006,0.0,0.006,0.006,0.006,0.0,0.0
Operationalisierung,0.006,0.0,0.0,0.0,0.019,0.006,0.013
Forschungsfrage,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Judaica Suchmaschine,0.006,0.0,0.0,0.0,0.0,0.0,0.0
generische Suche,0.006,0.0,0.0,0.0,0.0,0.0,0.0
forschungsorienterte Datenföderation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
DARIAH-DE,0.019,0.013,0.006,0.0,0.0,0.0,0.0
Biographien,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Transnationalität,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Cosmobilities,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Datenföderation,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Sanskrit;Pāṇini;Lexik;Sprachwandel,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Narratologie,0.006,0.006,0.006,0.006,0.006,0.0,0.0
best practice,0.006,0.0,0.0,0.0,0.0,0.006,0.0
Sprechererkennung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Quantitative Textanalyse,0.006,0.0,0.0,0.0,0.0,0.0,0.006
Textkorpora,0.006,0.0,0.0,0.0,0.0,0.0,0.0
diachron,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kollokation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Zeitreihe,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Graph-Datenbanken,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Text-Modellierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Text-Repräsentation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Psychostilistik,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Best Practices,0.006,0.0,0.006,0.0,0.006,0.0,0.006
Workflows,0.006,0.0,0.006,0.006,0.0,0.006,0.0
Langzeitprojekt,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Darstellung von Unschärfe,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Visualisierung; Netzwerkanalyse; Diagnostik;,0.006,0.0,0.0,0.0,0.0,0.0,0.0
complexity,0.006,0.0,0.0,0.0,0.0,0.0,0.0
legal texts,0.006,0.0,0.0,0.0,0.0,0.0,0.0
visualization,0.006,0.0,0.006,0.006,0.013,0.0,0.006
digitization,0.006,0.0,0.0,0.0,0.0,0.0,0.0
LERA,0.006,0.0,0.0,0.0,0.0,0.006,0.0
SaDA,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Textvergleich,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Editionsphilologie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Exploration,0.006,0.0,0.0,0.0,0.0,0.006,0.006
Genreklassifikation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Spanien,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Cervantes,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Don Quijote,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Korpushermeneutik,0.006,0.0,0.006,0.0,0.0,0.0,0.0
CorpusExplorer,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Nutzerstudie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
mündliche Korpora,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Webservice,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Topic Modeling,0.006,0.0,0.019,0.013,0.031,0.019,0.013
Spanische Literatur,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Lateinamerikanische Literatur,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Textverlauf,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Multilingualität; Multikulturalität; Diversity,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Sepulkralkulturen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
soziale Identität,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Ortsnamen,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Taiwan,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Linguistik,0.006,0.0,0.013,0.013,0.0,0.0,0.0
Gebrauchstauglichkeit,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Modellierung geisteswissenschaftlicher Inhalte und Forschungsprozesse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Probleme des Markup und anderer Ansätze zur Formalisierung von Inhalten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Softwarewerkzeuge für die Geisteswissenschaften,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mehrwert von neuen Methoden und Technologien,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Dramen,0.006,0.0,0.0,0.006,0.006,0.006,0.0
small worlds,0.006,0.0,0.0,0.0,0.0,0.0,0.0
semitische Sprachen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
lingustische Annotation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
tagging,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Datenvisualisierung,0.006,0.006,0.0,0.006,0.013,0.019,0.0
Textumwandlung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Textexploration,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Interaktiv,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Bach,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Datenbanken,0.006,0.0,0.0,0.0,0.0,0.0,0.006
Automatisierte Handschriftenerkennung,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Wissenschaftsblog,0.006,0.0,0.0,0.006,0.0,0.0,0.006
nodegoat,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Repositorien,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Interdisziplinärer Autausch,0.006,0.0,0.0,0.0,0.0,0.0,0.0
historische Korpora,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Wiederverwendung,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Textannotation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Automatisierung,0.006,0.0,0.013,0.0,0.0,0.0,0.0
TUSTEP,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Publizieren,0.006,0.006,0.0,0.0,0.0,0.006,0.006
Crossmedia,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Tools,0.006,0.006,0.006,0.0,0.0,0.006,0.006
Libraries,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Textsatz;kritische Editionen;Publikation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Infrastrukturen,0.006,0.006,0.0,0.013,0.006,0.0,0.0
Forschungsumgebund,0.006,0.0,0.0,0.0,0.0,0.0,0.0
TextGrid,0.006,0.0,0.0,0.0,0.0,0.0,0.0
historische Sprachen,0.0,0.006,0.0,0.006,0.0,0.0,0.0
Adaption,0.0,0.006,0.0,0.0,0.0,0.0,0.0
virtuelle Forschungsumgebungen,0.0,0.006,0.006,0.006,0.0,0.0,0.0
Transkription,0.0,0.006,0.0,0.0,0.0,0.013,0.013
Datenaufbereitung,0.0,0.006,0.0,0.0,0.006,0.0,0.006
Museum,0.0,0.006,0.0,0.0,0.006,0.013,0.006
Kulturelles Erbe,0.0,0.006,0.0,0.0,0.0,0.0,0.006
Wissenstransfer,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Evaluation,0.0,0.019,0.006,0.013,0.013,0.006,0.0
Rezension,0.0,0.006,0.006,0.0,0.006,0.006,0.006
Beurteilungskriterien,0.0,0.006,0.0,0.0,0.0,0.0,0.0
digitale Angebote,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Virtuele Forschungsumgebungen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Visualisierung und Archiwvierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Bildrepositorien,0.0,0.006,0.006,0.0,0.006,0.0,0.0
Forschung,0.0,0.013,0.019,0.0,0.0,0.0,0.0
Vermittlung,0.0,0.019,0.0,0.0,0.006,0.006,0.006
Open-Data-Politik,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Hackathon,0.0,0.006,0.013,0.0,0.006,0.0,0.0
Gedächtnis­institutionen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Data literacy,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Dramenanalyse,0.0,0.006,0.0,0.006,0.006,0.006,0.0
Methodenvergleich,0.0,0.006,0.0,0.0,0.0,0.006,0.0
Labor,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Bürgerwissenschaft,0.0,0.006,0.0,0.0,0.0,0.0,0.0
,0.0,0.019,0.013,0.013,0.013,0.0,0.013
Kulturerbedaten,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Equipment,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Anthologie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Software Archivierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Automatisierte Softwarebereitstellung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
TOSCA,0.0,0.006,0.0,0.006,0.006,0.0,0.0
OpenTOSCA,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Datenmanagement,0.0,0.006,0.006,0.0,0.0,0.013,0.0
Kontrollierte Vokabularien,0.0,0.006,0.0,0.0,0.0,0.006,0.0
crowdsourcing,0.0,0.006,0.0,0.0,0.0,0.0,0.0
optical character recognition,0.0,0.006,0.0,0.0,0.0,0.0,0.0
optical music recognition,0.0,0.006,0.0,0.0,0.0,0.0,0.0
music transcription tool,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Tagset,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Splätlatein,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Altfranzösisch,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Repositorium,0.0,0.006,0.0,0.0,0.013,0.013,0.0
technische Nachhaltigkeit,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Messung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Softwaremanagementpläne,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Normalisierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Historisierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Markdown,0.0,0.006,0.0,0.0,0.0,0.0,0.0
responsive webdesign,0.0,0.006,0.0,0.0,0.0,0.0,0.0
mean,0.0,0.006,0.0,0.0,0.0,0.0,0.0
open source,0.0,0.006,0.0,0.0,0.0,0.0,0.0
blog corpus,0.0,0.006,0.0,0.0,0.0,0.0,0.0
corpus compilation,0.0,0.006,0.0,0.0,0.0,0.0,0.0
corpus annotation,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Episteme,0.0,0.006,0.0,0.0,0.0,0.0,0.0
mise en page,0.0,0.006,0.0,0.0,0.0,0.0,0.0
SFB 980,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Open Source,0.0,0.006,0.0,0.0,0.013,0.006,0.006
UIMA,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Public History,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Twitter,0.0,0.006,0.006,0.006,0.0,0.006,0.0
Daten-Organisation,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Graphische Literatur,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Zeitwahrnehmung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Blickbewegungen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Experimentalpsychologie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Kalender,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Zeitrechnung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Datumsbestimmung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Webressource,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Graphdaten,0.0,0.006,0.0,0.0,0.0,0.0,0.0
grafische Literatur,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Eyetracking,0.0,0.006,0.0,0.0,0.0,0.013,0.0
LOD,0.0,0.006,0.0,0.0,0.013,0.0,0.0
Datamining,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Biographie,0.0,0.006,0.0,0.006,0.013,0.0,0.0
Nutzer,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Community-Building,0.0,0.006,0.0,0.0,0.006,0.0,0.0
Heterogene Forschungsfragen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Historische Korpora,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Annotation Architektur Nachhaltigkeit Derivationsmorphologie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
topic modeling,0.0,0.006,0.006,0.0,0.0,0.0,0.0
python,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Platon,0.0,0.006,0.006,0.0,0.0,0.0,0.0
Paraphrase,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Paraphrasenerkennung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Paraphrasensuche,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Altgriechisch,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Themenmodelle,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Interpretation,0.0,0.006,0.013,0.0,0.025,0.0,0.0
Entity Linking,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Relation Extraction,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Geschichtswissenschaft,0.0,0.006,0.0,0.006,0.0,0.0,0.0
Informatik,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Textgenese,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Datenmigration,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Textkodierung,0.0,0.006,0.0,0.006,0.0,0.0,0.0
Normdaten,0.0,0.006,0.0,0.013,0.013,0.019,0.019
DH-Curriculum,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Nachhaltige IT-Didaktik,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Fachnahe IT-Grundausbildung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Interaktive Lehr- und Lernumgebung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Datenrepositorium,0.0,0.006,0.0,0.0,0.0,0.006,0.0
Maßnahmen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Dialekt,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Pflanzen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Linked Open Data,0.0,0.019,0.013,0.025,0.019,0.037,0.037
religiöser Online-Kommunikation,0.0,0.006,0.006,0.0,0.0,0.0,0.0
topic models,0.0,0.006,0.006,0.0,0.0,0.0,0.0
LDA,0.0,0.006,0.006,0.0,0.0,0.0,0.0
relNet,0.0,0.006,0.006,0.0,0.0,0.0,0.0
Bibliothek,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Fachinformationsdienst,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Musikwissenschaft,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Johann-Friedrich Blumenbach online,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Wissenschaftsakademien,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Projektedatenbank,0.0,0.006,0.0,0.0,0.0,0.0,0.0
digitale Infrastruktur,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Wissenschaftskommunikation,0.0,0.006,0.0,0.019,0.006,0.006,0.006
Hermeneutik,0.0,0.013,0.019,0.006,0.006,0.0,0.006
Lehrinstrument,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Raum,0.0,0.006,0.0,0.0,0.006,0.013,0.0
Digitale Textanalyse,0.0,0.006,0.0,0.0,0.0,0.0,0.006
Literaturkartographie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
DH-Entwickler,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Forschungs-Software-Nachhaltigkeit,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Textgenetik,0.0,0.006,0.0,0.0,0.006,0.0,0.0
Hethitisch,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Semantische Suche,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Lexikalisch-Semantische Methoden,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Stilometrie; Autorschaftsattribution; Delta; ältere Sprachstufen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Generalisierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Interface Design,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Mittelhochdeutsch,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Wortarten,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Tagging,0.0,0.006,0.006,0.0,0.0,0.0,0.0
PoS,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Disambiguierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Handschriftentranskription,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Distant reading,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Halbautomatische Texterschließung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Antonomasie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
vossianische Antonomasie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Stilistik,0.0,0.013,0.0,0.0,0.0,0.0,0.0
Zeitungskorpora,0.0,0.006,0.0,0.0,0.0,0.0,0.0
visuelle Grammatik,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Interaktivität,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Soziologie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Zettelkasten,0.0,0.006,0.006,0.006,0.0,0.0,0.0
Nachlass,0.0,0.006,0.0,0.0,0.0,0.0,0.006
Bibliographie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
virtuelle Forschungsumgebung,0.0,0.006,0.006,0.006,0.0,0.0,0.006
Domain Driven Design,0.0,0.013,0.0,0.0,0.0,0.0,0.0
Behaviour Driven Development,0.0,0.013,0.0,0.0,0.0,0.0,0.0
Akademienprogramm,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Goethes Biographica,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Langzeitforschungsvorhaben,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Moderne,0.0,0.006,0.0,0.0,0.0,0.006,0.006
Bilddatenbank,0.0,0.013,0.0,0.0,0.0,0.0,0.0
Graphdatenbank,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Editionsarbeit,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Nutzerforschung,0.0,0.006,0.013,0.0,0.006,0.0,0.0
Wissensarbeit,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Orientierung und Standardisierung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Zitationsanalyse Sentimentanalyse Bibliometrie Ontologien Annotation,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Digitale Rekonstruktion,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Projekte,0.0,0.006,0.006,0.0,0.0,0.006,0.0
Übersicht,0.0,0.006,0.0,0.0,0.0,0.006,0.0
Informationsextraktion,0.0,0.006,0.0,0.006,0.0,0.006,0.0
cinemetrics,0.0,0.006,0.0,0.0,0.0,0.0,0.0
color quantization,0.0,0.006,0.0,0.0,0.0,0.0,0.0
k-means,0.0,0.006,0.0,0.0,0.0,0.0,0.006
farbkontraste,0.0,0.006,0.0,0.0,0.0,0.0,0.0
zombies,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Metapher,0.0,0.006,0.0,0.0,0.0,0.006,0.0
Happy End classification,0.0,0.006,0.0,0.0,0.0,0.0,0.0
plot representation,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Dokumentanalyse,0.0,0.006,0.0,0.0,0.006,0.0,0.0
Zeitschriften,0.0,0.006,0.0,0.013,0.006,0.006,0.0
Masse,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Diskurs,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Reproduktion,0.0,0.006,0.0,0.006,0.0,0.0,0.0
Frankreich,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Satzlänge,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Agile Softwareentwicklung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
DevOps,0.0,0.006,0.0,0.0,0.0,0.0,0.0
digitale Nachhaltigkeit,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Nachhaltigkeitsstrategie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
mobile Technologien,0.0,0.006,0.0,0.0,0.0,0.0,0.0
kulturelles Erbe,0.0,0.006,0.006,0.0,0.0,0.006,0.006
Christopher Polhem,0.0,0.006,0.0,0.0,0.0,0.0,0.0
virtual heritage,0.0,0.006,0.0,0.0,0.0,0.0,0.0
pedagogical models,0.0,0.006,0.0,0.0,0.0,0.0,0.0
3D modeling,0.0,0.006,0.0,0.0,0.0,0.0,0.0
3D scanning,0.0,0.006,0.0,0.0,0.0,0.0,0.0
3D simulation,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Laboratorium mechanicum,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Royal Swedish Model Chamber,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Impact,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Plot,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Digitale Literaturwissenschaft,0.0,0.006,0.0,0.0,0.0,0.019,0.006
Strukturanalyse,0.0,0.006,0.0,0.006,0.0,0.006,0.0
Digitale Erschliessung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
OpenGLAM,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Datenbank,0.0,0.006,0.013,0.006,0.006,0.006,0.013
Idiom,0.0,0.006,0.0,0.0,0.0,0.0,0.0
interdisziplinär,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Analysetool,0.0,0.006,0.0,0.0,0.0,0.0,0.0
user-activity-analysis,0.0,0.006,0.0,0.0,0.0,0.0,0.0
digital humanities,0.0,0.006,0.006,0.0,0.0,0.0,0.0
forschungspraxis,0.0,0.006,0.0,0.0,0.0,0.0,0.0
methodologie,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Biographiedaten,0.0,0.006,0.0,0.0,0.0,0.006,0.0
Visuelle Synthese,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Space-Time Cube,0.0,0.006,0.0,0.0,0.0,0.0,0.0
kritischer Apparat,0.0,0.006,0.0,0.0,0.0,0.0,0.0
digitale Arbeitsumgebung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Webedition,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Lizenzierung,0.0,0.006,0.006,0.0,0.006,0.006,0.0
creative commons,0.0,0.006,0.0,0.0,0.0,0.0,0.0
digital peer publishing,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Datenlizenzen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Softwarelizenzen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
automatisierte Layouterkennung,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Transkribieren,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Edieren,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Archivbestände,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Fedora Commons,0.0,0.006,0.0,0.0,0.0,0.0,0.0
IIIF,0.0,0.006,0.006,0.006,0.0,0.0,0.0
Digital Editions,0.0,0.006,0.0,0.0,0.0,0.0,0.0
SPARQL,0.0,0.006,0.0,0.0,0.0,0.0,0.006
Web-App,0.0,0.006,0.0,0.006,0.0,0.0,0.0
Hands-on,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Archivieren,0.0,0.006,0.0,0.0,0.0,0.0,0.0
XMP,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Glasmalerei,0.0,0.006,0.0,0.0,0.0,0.0,0.0
shared task,0.0,0.006,0.006,0.0,0.0,0.0,0.0
unshared task,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Entitätenreferenz,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Modularisierung von Forschungsfragen,0.0,0.006,0.0,0.0,0.0,0.0,0.0
Code,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Grundlagenreflexion,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Georeferenzierung,0.0,0.0,0.006,0.0,0.006,0.0,0.0
n-Gramm-Analyse,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Germanistik,0.0,0.0,0.006,0.0,0.006,0.0,0.0
Dependenzannotation,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Positivistischer Methodenfetischismus,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Wissenschaftliche Relevanz,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Kritik digitaler Methoden,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Biographische Daten,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Gruppenbildung,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Nachnutzbarkeit,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Pipelines,0.0,0.0,0.006,0.0,0.0,0.0,0.006
Reproduzierbarkeit,0.0,0.0,0.006,0.0,0.0,0.0,0.006
Datenkuration,0.0,0.0,0.006,0.0,0.0,0.0,0.006
Forschungssoftware,0.0,0.0,0.013,0.0,0.006,0.013,0.0
Lebende Systeme,0.0,0.0,0.006,0.006,0.006,0.0,0.0
Soziale Medien,0.0,0.0,0.006,0.006,0.0,0.0,0.0
Rezeption von Literatur,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Assoziationen,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Fernando Pessoa,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Netzwerk,0.0,0.0,0.006,0.0,0.0,0.006,0.0
Musikwissenschaften,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Bach-Forschung,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Common Science,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Historiker,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Forschungsdatenrepositorien,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Ground Truth,0.0,0.0,0.006,0.0,0.0,0.006,0.0
Referenzdaten,0.0,0.0,0.006,0.0,0.0,0.0,0.0
Textauszeichnung,0.0,0.0,0.006,0.0,0.0,0.0,0.0
