,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean
Webanwendung,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
Programmiercode,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Sprachressourcen,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Kunstkammer,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
food,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
User Centered Design,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Open Encyclopedia System,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
Diagrammatik,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
Entitäten,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
kollaboratives Arbeiten,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
3D-Modell,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
Realismus,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Inklusion,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Visuelle Medien,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Film,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Storytelling,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Git,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Datenbanken,0.62,0.0,0.0,0.0,0.0,0.0,0.76,0.2
Knowledge Graph,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Migration,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Publikationsprozess,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Game with a Purpose,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Wikibase,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Interview,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Ökologie,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Kanon,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Web-Applikation,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Koreferenzauflösung,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
CLS,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Brief,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
OCR-D,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Volltexterkennung,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
digitale Annotation,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Kollationierung,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
semantische Annotation,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
Handschriftenerkennung,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
word embeddings,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Hebräisch,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Peer Review,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Historische Netzwerkanalyse,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Protokolle,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
Pipelines,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
Reproduzierbarkeit,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
Datentransformation,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
DHd,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Kategorientheorie,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Literaturarchiv,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Wissensrepräsentation,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Forschungsprozess,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Objekterkennung,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Text Reuse,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Wirtschaftsgeschichte,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
FAIR principles,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
TEI-XML,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Datenkuration,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
AG Datenzentren,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Literaturanalyse,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
open data,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
ontologies,0.0,0.0,0.0,0.0,0.0,0.65,0.76,0.2
Softwareentwicklung,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
corpus,0.0,0.0,0.62,0.0,0.0,0.0,0.76,0.2
Karte,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Numismatik,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Data Literacy,0.0,0.0,0.0,0.0,0.73,0.65,0.0,0.2
automatische Erkennung,0.0,0.0,0.0,0.73,0.0,0.65,0.0,0.2
Quantitative Textanalyse,0.62,0.0,0.0,0.0,0.0,0.0,0.76,0.2
Beratung,0.62,0.0,0.0,0.0,0.0,0.0,0.76,0.2
Suche,0.62,0.0,0.0,0.0,0.0,0.0,0.76,0.2
manuelle Annotation,0.62,0.0,0.0,0.0,0.0,0.0,0.76,0.2
Textkorpus,0.62,0.0,0.0,0.0,0.0,0.0,0.76,0.2
Digitale 3D-Rekonstruktion,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
Ortsnamen,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Qualitätssicherung,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
GIS,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
Neoclassica,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
XSLT,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Multiperspektivität,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Quantitative Verfahren,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
Kollation,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Digitale Musikwissenschaft,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Organisation,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Datenmodell,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Studium,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Georeferenzierung,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
visualisierung,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
OCR4all,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.19
digitales Publizieren,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Übersetzung,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Germanistik,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Zweiter Weltkrieg,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.19
Forschungsumgebung,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Forschendes Lernen,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.19
Analyse von Relationen,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.19
Provenance,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Virtualisierung,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Netzwerke,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Kuration,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Nutzerstudien,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Kommunikation,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Theater,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Grundlagen,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Bildwissenschaft,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
semantische Modellierung,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Fachkommunikation,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
digitale 3D-Rekonstruktion,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Kulturgeschichte,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Kontextualisieren,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.19
Eye-Tracking,0.62,0.0,0.0,0.73,0.0,0.0,0.0,0.19
Suchmaschine,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
Soziale Medien,0.0,0.0,0.62,0.73,0.0,0.0,0.0,0.19
18. Jahrhundert,0.0,0.0,0.62,0.0,0.73,0.0,0.0,0.19
Mapping,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Romantik,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Stemmatologie,0.62,0.0,0.0,0.0,0.73,0.0,0.0,0.19
Ähnlichkeitsanalyse,0.62,0.0,0.0,0.0,0.0,0.65,0.0,0.18
Sprachdaten,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Information,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Ontologische Modellierung,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Autorschaft,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Ground Truth,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Wissenschaftssprache,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Netzwerk,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Photogrammetrie,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
Transkribus,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Digitale Kulturwissenschaft,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Data Mining,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Kafka,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
CLARIN-D,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Geschichte der DH,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Interoperabilität,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Gamification,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
erklärende Annotation,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Vagheit,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
REST API,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Didaktik,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
Taxonomie,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Lizenzen,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Parser,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
SKOS,0.62,0.0,0.0,0.0,0.0,0.65,0.0,0.18
Lexikografie,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Katalogisierung,0.62,0.0,0.0,0.0,0.0,0.65,0.0,0.18
best practice,0.62,0.0,0.0,0.0,0.0,0.65,0.0,0.18
Datenaggregation,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Rechnungsbücher,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Analyse-Plattform,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Textvergleich,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Blog,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Handschrift,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Sammlungserschließung,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
LERA,0.62,0.0,0.0,0.0,0.0,0.65,0.0,0.18
Forschungsinfrastrukturen,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Emotionen,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Online Edition,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Editor,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Dialektologie,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Design,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Wiederverwendung,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Deutsch,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Text Mining,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Forschungsportal,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
historische Korpora,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Wikipedia,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
XML-TEI,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.18
Sentiment,0.0,0.0,0.62,0.0,0.0,0.65,0.0,0.18
Biographien,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Kooperationen,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
Korpushermeneutik,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
Repository,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.18
maschinelles Lernverfahren,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.18
Indexierung,0.62,0.0,0.0,0.0,0.0,0.65,0.0,0.18
Goethes Biographica,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Akademienprogramm,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Zitationsanalyse Sentimentanalyse Bibliometrie Ontologien Annotation,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Langzeitforschungsvorhaben,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Graphdatenbank,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Digitale Rekonstruktion,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Editionsarbeit,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
color quantization,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Wissensarbeit,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
cinemetrics,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Orientierung und Standardisierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
farbkontraste,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
vossianische Antonomasie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Bibliographie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Wortarten,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
DH-Entwickler,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Forschungs-Software-Nachhaltigkeit,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Hethitisch,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Semantische Suche,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Lexikalisch-Semantische Methoden,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Stilometrie; Autorschaftsattribution; Delta; ältere Sprachstufen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Generalisierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Interface Design,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Mittelhochdeutsch,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
PoS,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Soziologie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Disambiguierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Handschriftentranskription,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Distant reading,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Halbautomatische Texterschließung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Antonomasie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Happy End classification,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Zeitungskorpora,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
visuelle Grammatik,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Interaktivität,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
zombies,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Nachhaltigkeitsstrategie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
plot representation,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Transkribieren,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Visuelle Synthese,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Space-Time Cube,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
kritischer Apparat,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
digitale Arbeitsumgebung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Webedition,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
creative commons,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
digital peer publishing,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Literaturkartographie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Softwarelizenzen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
automatisierte Layouterkennung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Edieren,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Masse,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Archivbestände,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Fedora Commons,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Digital Editions,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Hands-on,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Archivieren,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
XMP,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Glasmalerei,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
unshared task,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Entitätenreferenz,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Modularisierung von Forschungsfragen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
methodologie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
forschungspraxis,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
user-activity-analysis,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Analysetool,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Diskurs,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Frankreich,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Satzlänge,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Agile Softwareentwicklung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
DevOps,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
digitale Nachhaltigkeit,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
mobile Technologien,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Christopher Polhem,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
virtual heritage,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
pedagogical models,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
3D modeling,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
3D scanning,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
3D simulation,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Laboratorium mechanicum,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Royal Swedish Model Chamber,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Impact,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Plot,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Digitale Erschliessung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
OpenGLAM,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Idiom,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
interdisziplinär,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Datenlizenzen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Johann-Friedrich Blumenbach online,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Zeitwahrnehmung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Graphdaten,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Softwaremanagementpläne,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Normalisierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Historisierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Markdown,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
responsive webdesign,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
mean,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
open source,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
blog corpus,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
corpus compilation,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
corpus annotation,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Episteme,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
mise en page,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
SFB 980,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
UIMA,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Public History,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Daten-Organisation,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Graphische Literatur,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Lehrinstrument,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Blickbewegungen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Experimentalpsychologie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Kalender,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Zeitrechnung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Datumsbestimmung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Messung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
technische Nachhaltigkeit,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Altfranzösisch,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Bürgerwissenschaft,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Adaption,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Wissenstransfer,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Beurteilungskriterien,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
digitale Angebote,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Virtuele Forschungsumgebungen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Visualisierung und Archiwvierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Open-Data-Politik,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Gedächtnis­institutionen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Data literacy,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Labor,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Kulturerbedaten,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Splätlatein,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Equipment,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Anthologie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Software Archivierung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Automatisierte Softwarebereitstellung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
OpenTOSCA,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
crowdsourcing,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
optical character recognition,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
optical music recognition,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
music transcription tool,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Tagset,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Webressource,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Themenmodelle,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
grafische Literatur,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Fachinformationsdienst,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Paraphrasensuche,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Musikwissenschaft,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Entity Linking,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Relation Extraction,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Informatik,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Textgenese,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Datenmigration,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Bibliothek,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Paraphrase,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
DH-Curriculum,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Nachhaltige IT-Didaktik,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Fachnahe IT-Grundausbildung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Interaktive Lehr- und Lernumgebung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Maßnahmen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Dialekt,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Pflanzen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Paraphrasenerkennung,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Altgriechisch,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Projektedatenbank,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
python,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Annotation Architektur Nachhaltigkeit Derivationsmorphologie,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Historische Korpora,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Datamining,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Wissenschaftsakademien,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Heterogene Forschungsfragen,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
digitale Infrastruktur,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
Nutzer,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.16
decolonisation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
narrative strategies,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Searching,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
unzuverlässiges Erzählen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Open Vocabularies,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Lyrik der Romantik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
